Harmonogram splat kredytu
Data rozpoczecia: 06.06.2023
Okres finansowania: 84 miesiecy
Wartosc inwestycji: 500000.00
Oprecentowanie roczne: 9.00%
Prowizja: 15.00%
Miesięczna rata: 8044.54
Calkowita prowizja: 500000.15
Harmonogram splat: 
Data		Kwota kapitalu	Kwota odsetek	Rata miesieczna	Saldo zadluzenia
06.06.2023	4294.54	3750.00	8044.54	495705.46
06.07.2023	4326.75	3717.79	8044.54	491378.71
06.08.2023	4359.20	3685.34	8044.54	487019.51
06.09.2023	4391.89	3652.65	8044.54	482627.62
06.10.2023	4424.83	3619.71	8044.54	478202.79
06.11.2023	4458.02	3586.52	8044.54	473744.77
06.12.2023	4491.45	3553.09	8044.54	469253.32
06.01.2024	4525.14	3519.40	8044.54	464728.18
06.02.2024	4559.08	3485.46	8044.54	460169.10
06.03.2024	4593.27	3451.27	8044.54	455575.83
06.04.2024	4627.72	3416.82	8044.54	450948.11
06.05.2024	4662.43	3382.11	8044.54	446285.68
06.06.2024	4697.40	3347.14	8044.54	441588.28
06.07.2024	4732.63	3311.91	8044.54	436855.66
06.08.2024	4768.12	3276.42	8044.54	432087.54
06.09.2024	4803.88	3240.66	8044.54	427283.65
06.10.2024	4839.91	3204.63	8044.54	422443.74
06.11.2024	4876.21	3168.33	8044.54	417567.53
06.12.2024	4912.78	3131.76	8044.54	412654.75
06.01.2025	4949.63	3094.91	8044.54	407705.12
06.02.2025	4986.75	3057.79	8044.54	402718.37
06.03.2025	5024.15	3020.39	8044.54	397694.22
06.04.2025	5061.83	2982.71	8044.54	392632.38
06.05.2025	5099.80	2944.74	8044.54	387532.59
06.06.2025	5138.04	2906.49	8044.54	382394.54
06.07.2025	5176.58	2867.96	8044.54	377217.96
06.08.2025	5215.40	2829.13	8044.54	372002.56
06.09.2025	5254.52	2790.02	8044.54	366748.04
06.10.2025	5293.93	2750.61	8044.54	361454.11
06.11.2025	5333.63	2710.91	8044.54	356120.48
06.12.2025	5373.64	2670.90	8044.54	350746.84
06.01.2026	5413.94	2630.60	8044.54	345332.90
06.02.2026	5454.54	2590.00	8044.54	339878.36
06.03.2026	5495.45	2549.09	8044.54	334382.91
06.04.2026	5536.67	2507.87	8044.54	328846.24
06.05.2026	5578.19	2466.35	8044.54	323268.05
06.06.2026	5620.03	2424.51	8044.54	317648.02
06.07.2026	5662.18	2382.36	8044.54	311985.84
06.08.2026	5704.65	2339.89	8044.54	306281.20
06.09.2026	5747.43	2297.11	8044.54	300533.77
06.10.2026	5790.54	2254.00	8044.54	294743.23
06.11.2026	5833.96	2210.57	8044.54	288909.27
06.12.2026	5877.72	2166.82	8044.54	283031.55
06.01.2027	5921.80	2122.74	8044.54	277109.74
06.02.2027	5966.22	2078.32	8044.54	271143.53
06.03.2027	6010.96	2033.58	8044.54	265132.57
06.04.2027	6056.04	1988.49	8044.54	259076.52
06.05.2027	6101.47	1943.07	8044.54	252975.06
06.06.2027	6147.23	1897.31	8044.54	246827.83
06.07.2027	6193.33	1851.21	8044.54	240634.50
06.08.2027	6239.78	1804.76	8044.54	234394.72
06.09.2027	6286.58	1757.96	8044.54	228108.14
06.10.2027	6333.73	1710.81	8044.54	221774.41
06.11.2027	6381.23	1663.31	8044.54	215393.18
06.12.2027	6429.09	1615.45	8044.54	208964.09
06.01.2028	6477.31	1567.23	8044.54	202486.78
06.02.2028	6525.89	1518.65	8044.54	195960.89
06.03.2028	6574.83	1469.71	8044.54	189386.06
06.04.2028	6624.14	1420.40	8044.54	182761.92
06.05.2028	6673.82	1370.71	8044.54	176088.09
06.06.2028	6723.88	1320.66	8044.54	169364.21
06.07.2028	6774.31	1270.23	8044.54	162589.91
06.08.2028	6825.11	1219.42	8044.54	155764.79
06.09.2028	6876.30	1168.24	8044.54	148888.49
06.10.2028	6927.88	1116.66	8044.54	141960.61
06.11.2028	6979.83	1064.70	8044.54	134980.78
06.12.2028	7032.18	1012.36	8044.54	127948.60
06.01.2029	7084.92	959.61	8044.54	120863.67
06.02.2029	7138.06	906.48	8044.54	113725.61
06.03.2029	7191.60	852.94	8044.54	106534.01
06.04.2029	7245.53	799.01	8044.54	99288.48
06.05.2029	7299.88	744.66	8044.54	91988.60
06.06.2029	7354.62	689.91	8044.54	84633.98
06.07.2029	7409.78	634.75	8044.54	77224.19
06.08.2029	7465.36	579.18	8044.54	69758.84
06.09.2029	7521.35	523.19	8044.54	62237.49
06.10.2029	7577.76	466.78	8044.54	54659.73
06.11.2029	7634.59	409.95	8044.54	47025.14
06.12.2029	7691.85	352.69	8044.54	39333.29
06.01.2030	7749.54	295.00	8044.54	31583.75
06.02.2030	7807.66	236.88	8044.54	23776.09
06.03.2030	7866.22	178.32	8044.54	15909.87
06.04.2030	7925.22	119.32	8044.54	7984.65
06.05.2030	7984.65	59.88	8044.54	0.00
